filename	acq_time	operator	randstr
anat/sub-8017_ses-01_acq-mprage_T1w.nii.gz	2021-10-06T10:53:49	n/a	b6455d84
func/sub-8017_ses-01_task-RDMmotion_run-01_bold.nii.gz	2021-10-06T10:55:03	n/a	32dcbdb7
func/sub-8017_ses-01_task-RDMcolor_run-01_bold.nii.gz	2021-10-06T10:57:57	n/a	87652d1a
func/sub-8017_ses-01_task-RDMmotion_run-02_bold.nii.gz	2021-10-06T11:06:51	n/a	223451a9
func/sub-8017_ses-01_task-RDMcolor_run-02_bold.nii.gz	2021-10-06T11:10:03	n/a	d9df0e95
func/sub-8017_ses-01_task-RDMmotion_run-03_bold.nii.gz	2021-10-06T11:18:17	n/a	41b46feb
func/sub-8017_ses-01_task-RDMcolor_run-03_bold.nii.gz	2021-10-06T11:21:31	n/a	5e818592
func/sub-8017_ses-01_task-RDMmotion_run-04_bold.nii.gz	2021-10-06T11:30:03	n/a	9ab7e338
func/sub-8017_ses-01_task-RDMcolor_run-04_bold.nii.gz	2021-10-06T11:33:17	n/a	3280dc97
func/sub-8017_ses-01_task-RDMmotion_run-05_bold.nii.gz	2021-10-06T11:41:51	n/a	feff8b3c
func/sub-8017_ses-01_task-RDMcolor_run-05_bold.nii.gz	2021-10-06T11:45:23	n/a	91642fc3
func/sub-8017_ses-01_task-RDMmotion_run-06_bold.nii.gz	2021-10-06T11:53:57	n/a	dcd57044
func/sub-8017_ses-01_task-RDMcolor_run-06_bold.nii.gz	2021-10-06T11:57:11	n/a	e46c6342
func/sub-8017_ses-01_task-RDMlocalizer_run-01_bold.nii.gz	2021-10-06T12:06:03	n/a	d3725389
func/sub-8017_ses-01_task-RDMlocalizer_run-02_bold.nii.gz	2021-10-06T12:10:57	n/a	70d3056d
fmap/sub-8017_ses-01_acq-greAP_magnitude1.nii.gz	2021-10-06T12:16:23	n/a	d5309926
fmap/sub-8017_ses-01_acq-greAP_magnitude2.nii.gz	2021-10-06T12:16:23	n/a	d5309926
fmap/sub-8017_ses-01_acq-greAP_phasediff.nii.gz	2021-10-06T12:16:23	n/a	7600d2fa
