filename	acq_time	operator	randstr
anat/sub-8006_ses-01_acq-mprage_T1w.nii.gz	2021-07-28T19:04:36	n/a	d7ccd2fb
func/sub-8006_ses-01_task-RDMmotion_run-01_bold.nii.gz	2021-07-28T19:07:08	n/a	a2cd8311
func/sub-8006_ses-01_task-RDMcolor_run-01_bold.nii.gz	2021-07-28T19:10:31	n/a	d4385b6a
func/sub-8006_ses-01_task-RDMmotion_run-02_bold.nii.gz	2021-07-28T19:19:44	n/a	243d6da2
func/sub-8006_ses-01_task-RDMcolor_run-02_bold.nii.gz	2021-07-28T19:22:48	n/a	1af6bb78
func/sub-8006_ses-01_task-RDMmotion_run-03_bold.nii.gz	2021-07-28T19:31:11	n/a	509fddbf
func/sub-8006_ses-01_task-RDMcolor_run-03_bold.nii.gz	2021-07-28T19:34:44	n/a	4e33a0c9
func/sub-8006_ses-01_task-RDMmotion_run-04_bold.nii.gz	2021-07-28T19:43:48	n/a	a401a06a
func/sub-8006_ses-01_task-RDMcolor_run-04_bold.nii.gz	2021-07-28T19:46:51	n/a	7b3d7660
func/sub-8006_ses-01_task-RDMmotion_run-05_bold.nii.gz	2021-07-28T19:55:44	n/a	fe5238a2
func/sub-8006_ses-01_task-RDMcolor_run-05_bold.nii.gz	2021-07-28T19:58:48	n/a	a9cd35db
func/sub-8006_ses-01_task-RDMmotion_run-06_bold.nii.gz	2021-07-28T20:07:31	n/a	b7e07b0c
func/sub-8006_ses-01_task-RDMcolor_run-06_bold.nii.gz	2021-07-28T20:10:44	n/a	57735523
func/sub-8006_ses-01_task-RDMlocalizer_run-01_bold.nii.gz	2021-07-28T20:20:08	n/a	516b7f90
fmap/sub-8006_ses-01_acq-greAP_magnitude1.nii.gz	2021-07-28T20:28:50	n/a	85fc5429
fmap/sub-8006_ses-01_acq-greAP_magnitude2.nii.gz	2021-07-28T20:28:50	n/a	85fc5429
fmap/sub-8006_ses-01_acq-greAP_phasediff.nii.gz	2021-07-28T20:28:51	n/a	ca31c74d
