filename	acq_time	operator	randstr
anat/sub-8019_ses-01_acq-mprage_T1w.nii.gz	2021-10-07T10:48:44	n/a	0cd60ce0
func/sub-8019_ses-01_task-RDMmotion_run-01_bold.nii.gz	2021-10-07T10:50:06	n/a	c0cbc1de
func/sub-8019_ses-01_task-RDMcolor_run-01_bold.nii.gz	2021-10-07T10:53:10	n/a	e6a363f6
func/sub-8019_ses-01_task-RDMmotion_run-02_bold.nii.gz	2021-10-07T11:01:52	n/a	f12f64f6
func/sub-8019_ses-01_task-RDMcolor_run-02_bold.nii.gz	2021-10-07T11:05:06	n/a	7041cdea
func/sub-8019_ses-01_task-RDMmotion_run-03_bold.nii.gz	2021-10-07T11:13:30	n/a	131eeb58
func/sub-8019_ses-01_task-RDMcolor_run-03_bold.nii.gz	2021-10-07T11:16:32	n/a	875f5581
func/sub-8019_ses-01_task-RDMmotion_run-04_bold.nii.gz	2021-10-07T11:25:06	n/a	e25bb818
func/sub-8019_ses-01_task-RDMcolor_run-04_bold.nii.gz	2021-10-07T11:27:50	n/a	b01a1473
func/sub-8019_ses-01_task-RDMmotion_run-05_bold.nii.gz	2021-10-07T11:36:52	n/a	6827ef84
func/sub-8019_ses-01_task-RDMmotion_run-06_bold.nii.gz	2021-10-07T11:51:06	n/a	f2441e83
func/sub-8019_ses-01_task-RDMcolor_run-05_bold.nii.gz	2021-10-07T11:54:30	n/a	966344fe
func/sub-8019_ses-01_task-RDMlocalizer_run-01_bold.nii.gz	2021-10-07T12:03:12	n/a	eede80c4
func/sub-8019_ses-01_task-RDMlocalizer_run-02_bold.nii.gz	2021-10-07T12:07:46	n/a	ea845abf
fmap/sub-8019_ses-01_acq-greAP_magnitude1.nii.gz	2021-10-07T12:13:18	n/a	9fcea181
fmap/sub-8019_ses-01_acq-greAP_magnitude2.nii.gz	2021-10-07T12:13:18	n/a	9fcea181
fmap/sub-8019_ses-01_acq-greAP_phasediff.nii.gz	2021-10-07T12:13:19	n/a	66f10747
