filename	acq_time	operator	randstr
anat/sub-8016_ses-01_acq-mprage_T1w.nii.gz	2021-10-06T09:16:22	n/a	fe831d3a
func/sub-8016_ses-01_task-RDMmotion_run-01_bold.nii.gz	2021-10-06T09:17:24	n/a	130cd274
func/sub-8016_ses-01_task-RDMcolor_run-01_bold.nii.gz	2021-10-06T09:20:37	n/a	81f67670
func/sub-8016_ses-01_task-RDMmotion_run-02_bold.nii.gz	2021-10-06T09:29:11	n/a	3c44600d
func/sub-8016_ses-01_task-RDMcolor_run-02_bold.nii.gz	2021-10-06T09:32:24	n/a	90e77277
func/sub-8016_ses-01_task-RDMmotion_run-03_bold.nii.gz	2021-10-06T09:40:57	n/a	4c7b187b
func/sub-8016_ses-01_task-RDMcolor_run-03_bold.nii.gz	2021-10-06T09:44:31	n/a	9c9435b4
func/sub-8016_ses-01_task-RDMmotion_run-04_bold.nii.gz	2021-10-06T09:52:44	n/a	37eb2885
func/sub-8016_ses-01_task-RDMcolor_run-04_bold.nii.gz	2021-10-06T09:55:57	n/a	d4aaf4f1
func/sub-8016_ses-01_task-RDMmotion_run-05_bold.nii.gz	2021-10-06T10:04:51	n/a	250f90ef
func/sub-8016_ses-01_task-RDMcolor_run-05_bold.nii.gz	2021-10-06T10:08:04	n/a	22335814
func/sub-8016_ses-01_task-RDMmotion_run-06_bold.nii.gz	2021-10-06T10:16:57	n/a	c9b40d34
func/sub-8016_ses-01_task-RDMcolor_run-06_bold.nii.gz	2021-10-06T10:20:11	n/a	136c0507
func/sub-8016_ses-01_task-RDMlocalizer_run-01_bold.nii.gz	2021-10-06T10:30:04	n/a	db0c7ace
func/sub-8016_ses-01_task-RDMlocalizer_run-02_bold.nii.gz	2021-10-06T10:34:37	n/a	a8d08483
fmap/sub-8016_ses-01_acq-greAP_magnitude1.nii.gz	2021-10-06T10:39:55	n/a	1c59b8bc
fmap/sub-8016_ses-01_acq-greAP_magnitude2.nii.gz	2021-10-06T10:39:55	n/a	1c59b8bc
fmap/sub-8016_ses-01_acq-greAP_phasediff.nii.gz	2021-10-06T10:39:55	n/a	75b01c71
