filename	acq_time	operator	randstr
anat/sub-8011_ses-01_acq-mprage_T1w.nii.gz	2021-09-25T09:55:16	n/a	e0adbe75
func/sub-8011_ses-01_task-RDMmotion_run-01_bold.nii.gz	2021-09-25T09:56:57	n/a	bab9e05b
func/sub-8011_ses-01_task-RDMcolor_run-01_bold.nii.gz	2021-09-25T09:59:59	n/a	83237d3b
func/sub-8011_ses-01_task-RDMmotion_run-02_bold.nii.gz	2021-09-25T10:08:40	n/a	2d4c7a1e
func/sub-8011_ses-01_task-RDMcolor_run-02_bold.nii.gz	2021-09-25T10:11:57	n/a	24029e98
func/sub-8011_ses-01_task-RDMmotion_run-03_bold.nii.gz	2021-09-25T10:20:19	n/a	9f9ea2b3
func/sub-8011_ses-01_task-RDMcolor_run-03_bold.nii.gz	2021-09-25T10:23:40	n/a	7aac832e
func/sub-8011_ses-01_task-RDMmotion_run-04_bold.nii.gz	2021-09-25T10:32:17	n/a	89f83f7c
func/sub-8011_ses-01_task-RDMcolor_run-04_bold.nii.gz	2021-09-25T10:35:39	n/a	bb463e49
func/sub-8011_ses-01_task-RDMmotion_run-05_bold.nii.gz	2021-09-25T10:44:20	n/a	8bc142d4
func/sub-8011_ses-01_task-RDMcolor_run-05_bold.nii.gz	2021-09-25T10:47:17	n/a	7f4a97cd
func/sub-8011_ses-01_task-RDMmotion_run-06_bold.nii.gz	2021-09-25T10:56:19	n/a	81d74b06
func/sub-8011_ses-01_task-RDMcolor_run-06_bold.nii.gz	2021-09-25T10:59:20	n/a	07475ec9
func/sub-8011_ses-01_task-RDMlocalizer_run-01_bold.nii.gz	2021-09-25T11:07:57	n/a	cdbbf97f
func/sub-8011_ses-01_task-RDMlocalizer_run-02_bold.nii.gz	2021-09-25T11:13:19	n/a	d06817a7
fmap/sub-8011_ses-01_acq-greAP_magnitude1.nii.gz	2021-09-25T11:18:34	n/a	486b611d
fmap/sub-8011_ses-01_acq-greAP_magnitude2.nii.gz	2021-09-25T11:18:34	n/a	486b611d
fmap/sub-8011_ses-01_acq-greAP_phasediff.nii.gz	2021-09-25T11:18:35	n/a	ed6470b7
