filename	acq_time	operator	randstr
anat/sub-8007_ses-01_acq-mprage_T1w.nii.gz	2021-08-04T15:19:36	n/a	c78d2829
func/sub-8007_ses-01_task-RDMmotion_run-01_bold.nii.gz	2021-08-04T15:21:20	n/a	8681b766
func/sub-8007_ses-01_task-RDMcolor_run-01_bold.nii.gz	2021-08-04T15:24:33	n/a	9e42bcde
func/sub-8007_ses-01_task-RDMmotion_run-02_bold.nii.gz	2021-08-04T15:33:23	n/a	63555c57
func/sub-8007_ses-01_task-RDMcolor_run-02_bold.nii.gz	2021-08-04T15:36:40	n/a	95a7dbba
func/sub-8007_ses-01_task-RDMmotion_run-03_bold.nii.gz	2021-08-04T15:45:13	n/a	14aac24d
func/sub-8007_ses-01_task-RDMcolor_run-03_bold.nii.gz	2021-08-04T15:48:03	n/a	c91154f5
func/sub-8007_ses-01_task-RDMmotion_run-04_bold.nii.gz	2021-08-04T15:57:00	n/a	bf34c8ba
func/sub-8007_ses-01_task-RDMcolor_run-04_bold.nii.gz	2021-08-04T16:00:13	n/a	0e0433dc
func/sub-8007_ses-01_task-RDMmotion_run-05_bold.nii.gz	2021-08-04T16:09:03	n/a	8be16b74
func/sub-8007_ses-01_task-RDMcolor_run-05_bold.nii.gz	2021-08-04T16:12:20	n/a	03de1e6a
func/sub-8007_ses-01_task-RDMmotion_run-06_bold.nii.gz	2021-08-04T16:21:13	n/a	c8ee36ab
func/sub-8007_ses-01_task-RDMcolor_run-06_bold.nii.gz	2021-08-04T16:24:23	n/a	74e4e610
func/sub-8007_ses-01_task-RDMlocalizer_run-01_bold.nii.gz	2021-08-04T16:33:20	n/a	fa1ced83
func/sub-8007_ses-01_task-RDMlocalizer_run-02_bold.nii.gz	2021-08-04T16:37:33	n/a	8220e7db
fmap/sub-8007_ses-01_acq-greAP_magnitude1.nii.gz	2021-08-04T16:43:19	n/a	d645d43a
fmap/sub-8007_ses-01_acq-greAP_magnitude2.nii.gz	2021-08-04T16:43:19	n/a	d645d43a
fmap/sub-8007_ses-01_acq-greAP_phasediff.nii.gz	2021-08-04T16:43:19	n/a	05423daf
