filename	acq_time	operator	randstr
anat/sub-8024_ses-01_acq-mprage_T1w.nii.gz	2021-11-13T11:16:17	n/a	1ee338bf
func/sub-8024_ses-01_task-RDMmotion_run-01_bold.nii.gz	2021-11-13T11:18:05	n/a	d7c08a86
func/sub-8024_ses-01_task-RDMcolor_run-01_bold.nii.gz	2021-11-13T11:21:06	n/a	e6124c2d
func/sub-8024_ses-01_task-RDMmotion_run-02_bold.nii.gz	2021-11-13T11:29:57	n/a	81cdd46b
func/sub-8024_ses-01_task-RDMcolor_run-02_bold.nii.gz	2021-11-13T11:33:05	n/a	c08eb00d
func/sub-8024_ses-01_task-RDMmotion_run-03_bold.nii.gz	2021-11-13T11:41:26	n/a	cd59dbfd
func/sub-8024_ses-01_task-RDMcolor_run-03_bold.nii.gz	2021-11-13T11:44:37	n/a	6323fcea
func/sub-8024_ses-01_task-RDMmotion_run-04_bold.nii.gz	2021-11-13T11:53:25	n/a	9e08a7b0
func/sub-8024_ses-01_task-RDMcolor_run-04_bold.nii.gz	2021-11-13T11:56:26	n/a	eb37ccfe
func/sub-8024_ses-01_task-RDMmotion_run-05_bold.nii.gz	2021-11-13T12:04:57	n/a	be094b78
func/sub-8024_ses-01_task-RDMcolor_run-05_bold.nii.gz	2021-11-13T12:08:05	n/a	3bf2934d
func/sub-8024_ses-01_task-RDMmotion_run-06_bold.nii.gz	2021-11-13T12:16:46	n/a	64d1b010
func/sub-8024_ses-01_task-RDMcolor_run-06_bold.nii.gz	2021-11-13T12:19:57	n/a	68a31235
func/sub-8024_ses-01_task-RDMlocalizer_run-01_bold.nii.gz	2021-11-13T12:28:45	n/a	7497fdbf
func/sub-8024_ses-01_task-RDMlocalizer_run-02_bold.nii.gz	2021-11-13T12:33:46	n/a	f36e182a
fmap/sub-8024_ses-01_acq-greAP_magnitude1.nii.gz	2021-11-13T12:38:54	n/a	81881e87
fmap/sub-8024_ses-01_acq-greAP_magnitude2.nii.gz	2021-11-13T12:38:54	n/a	81881e87
fmap/sub-8024_ses-01_acq-greAP_phasediff.nii.gz	2021-11-13T12:38:54	n/a	68ae8f70
