filename	acq_time	operator	randstr
anat/sub-8010_ses-01_acq-mprage_T1w.nii.gz	2021-09-21T17:45:41	n/a	201434b9
func/sub-8010_ses-01_task-RDMmotion_run-01_bold.nii.gz	2021-09-21T17:47:13	n/a	3587a237
func/sub-8010_ses-01_task-RDMcolor_run-01_bold.nii.gz	2021-09-21T17:50:33	n/a	4fc61ee4
func/sub-8010_ses-01_task-RDMmotion_run-02_bold.nii.gz	2021-09-21T17:59:21	n/a	b51d4781
func/sub-8010_ses-01_task-RDMcolor_run-02_bold.nii.gz	2021-09-21T18:02:33	n/a	490a6a8c
func/sub-8010_ses-01_task-RDMmotion_run-03_bold.nii.gz	2021-09-21T18:11:33	n/a	a021d9a0
func/sub-8010_ses-01_task-RDMcolor_run-03_bold.nii.gz	2021-09-21T18:14:41	n/a	1c93c4b9
func/sub-8010_ses-01_task-RDMmotion_run-04_bold.nii.gz	2021-09-21T18:23:53	n/a	40d65185
func/sub-8010_ses-01_task-RDMcolor_run-04_bold.nii.gz	2021-09-21T18:26:53	n/a	6f1665ba
func/sub-8010_ses-01_task-RDMmotion_run-05_bold.nii.gz	2021-09-21T18:35:21	n/a	92653ff2
func/sub-8010_ses-01_task-RDMmotion_run-06_bold.nii.gz	2021-09-21T18:52:21	n/a	b344357a
func/sub-8010_ses-01_task-RDMcolor_run-05_bold.nii.gz	2021-09-21T18:55:33	n/a	75521b5a
func/sub-8010_ses-01_task-RDMlocalizer_run-01_bold.nii.gz	2021-09-21T19:04:33	n/a	c0aa99a6
func/sub-8010_ses-01_task-RDMlocalizer_run-02_bold.nii.gz	2021-09-21T19:09:21	n/a	71ff637a
fmap/sub-8010_ses-01_acq-greAP_magnitude1.nii.gz	2021-09-21T19:14:43	n/a	1d944d56
fmap/sub-8010_ses-01_acq-greAP_magnitude2.nii.gz	2021-09-21T19:14:43	n/a	1d944d56
fmap/sub-8010_ses-01_acq-greAP_phasediff.nii.gz	2021-09-21T19:14:44	n/a	42c7e2d5
