filename	acq_time	operator	randstr
anat/sub-8030_ses-01_acq-mprage_T1w.nii.gz	2021-11-14T14:55:58	n/a	bd55141a
func/sub-8030_ses-01_task-RDMmotion_run-01_bold.nii.gz	2021-11-14T14:57:38	n/a	9bf859ee
func/sub-8030_ses-01_task-RDMcolor_run-01_bold.nii.gz	2021-11-14T15:00:51	n/a	60989904
func/sub-8030_ses-01_task-RDMmotion_run-02_bold.nii.gz	2021-11-14T15:09:18	n/a	0530e0d2
func/sub-8030_ses-01_task-RDMcolor_run-02_bold.nii.gz	2021-11-14T15:12:18	n/a	8578e703
func/sub-8030_ses-01_task-RDMmotion_run-03_bold.nii.gz	2021-11-14T15:21:11	n/a	6a1a7b22
func/sub-8030_ses-01_task-RDMcolor_run-03_bold.nii.gz	2021-11-14T15:24:18	n/a	04b835d2
func/sub-8030_ses-01_task-RDMmotion_run-04_bold.nii.gz	2021-11-14T15:33:18	n/a	fee31c93
func/sub-8030_ses-01_task-RDMcolor_run-04_bold.nii.gz	2021-11-14T15:36:31	n/a	08adff34
func/sub-8030_ses-01_task-RDMmotion_run-05_bold.nii.gz	2021-11-14T15:44:58	n/a	cde01c4d
func/sub-8030_ses-01_task-RDMcolor_run-05_bold.nii.gz	2021-11-14T15:48:18	n/a	cc9762d6
func/sub-8030_ses-01_task-RDMmotion_run-06_bold.nii.gz	2021-11-14T15:57:11	n/a	66ae5cf3
func/sub-8030_ses-01_task-RDMcolor_run-06_bold.nii.gz	2021-11-14T16:00:18	n/a	32494a37
func/sub-8030_ses-01_task-RDMlocalizer_run-01_bold.nii.gz	2021-11-14T16:09:18	n/a	a2c576a4
func/sub-8030_ses-01_task-RDMlocalizer_run-02_bold.nii.gz	2021-11-14T16:13:51	n/a	bfc5c7f9
fmap/sub-8030_ses-01_acq-greAP_magnitude1.nii.gz	2021-11-14T16:19:05	n/a	50d9ea61
fmap/sub-8030_ses-01_acq-greAP_magnitude2.nii.gz	2021-11-14T16:19:05	n/a	50d9ea61
fmap/sub-8030_ses-01_acq-greAP_phasediff.nii.gz	2021-11-14T16:19:05	n/a	3cc7f54a
